"data__id","data__name","data__symbol","data__website_slug","metadata__timestamp","metadata__num_cryptocurrencies","metadata__error"
"331","Litecoin Plus","LCP","litecoin-plus","","",""
"333","Curecoin","CURE","curecoin","","",""
"334","UnbreakableCoin","UNB","unbreakablecoin","","",""
"337","CryptCoin","CRYPT","cryptcoin","","",""
"338","QuazarCoin","QCN","quazarcoin","","",""
"341","SuperCoin","SUPER","supercoin","","",""
"344","Qora","QORA","qora","","",""
"350","BoostCoin","BOST","boostcoin","","",""
"353","Hyper","HYPER","hyper","","",""
"356","BitQuark","BTQ","bitquark","","",""
"360","Motocoin","MOTO","motocoin","","",""
"362","CloakCoin","CLOAK","cloakcoin","","",""
"366","BitSend","BSD","bitsend","","",""
"367","Coin2.1","C2","coin2-1","","",""
"370","Fantomcoin","FCN","fantomcoin","","",""
"372","Bytecoin","BCN","bytecoin-bcn","","",""
"374","ArtByte","ABY","artbyte","","",""
"377","NavCoin","NAV","nav-coin","","",""
"380","Uro","URO","uro","","",""
"382","Granite","GRN","granitecoin","","",""
"385","Donationcoin","DON","donationcoin","","",""
"386","Piggycoin","PIGGY","piggycoin","","",""
"389","Startcoin","START","startcoin","","",""
"400","Kore","KORE","korecoin","","",""
"405","DigitalNote","XDN","digitalnote","","",""
"406","Boolberry","BBR","boolberry","","",""
"411","SHACoin","SHA","shacoin","","",""
"415","BlazeCoin","BLZ","blazecoin","","",""
"416","HempCoin","THC","hempcoin","","",""
"426","BritCoin","BRIT","britcoin","","",""
"448","Stealth","XST","stealth","","",""
"450","TrustPlus","TRUST","trustplus","","",""
"460","Clams","CLAM","clams","","",""
"461","Quatloo","QTL","quatloo","","",""
"463","BitShares","BTS","bitshares","","",""
"467","BitcoinDark","BTCD","bitcoindark","","",""
"468","Truckcoin","TRK","truckcoin","","",""
"470","Viacoin","VIA","viacoin","","",""
"476","Firecoin","FIRE","firecoin","","",""
"477","Triangles","TRI","triangles","","",""
"493","ShadowCash","SDC","shadowcash","","",""
"495","I/O Coin","IOC","iocoin","","",""
"501","Cryptonite","XCN","cryptonite","","",""
"502","Carboncoin","CARBON","carboncoin","","",""
"506","CannabisCoin","CANN","cannabiscoin","","",""
"512","Stellar","XLM","stellar","","",""
"513","Titcoin","TIT","titcoin","","",""
"520","Virtacoin","VTA","virtacoin","","",""
"525","HyperStake","HYP","hyperstake","","",""
"536","Joincoin","J","joincoin","","",""
"541","Syscoin","SYS","syscoin","","",""
"543","Bitmark","BTM","bitmark","","",""
"545","Halcyon","HAL","halcyon","","",""
"549","Storjcoin X","SJCX","storjcoin-x","","",""
"551","NeosCoin","NEOS","neoscoin","","",""
"558","Emercoin","EMC","emercoin","","",""
"572","RabbitCoin","RBBT","rabbitcoin","","",""
"573","Burst","BURST","burst","","",""
"576","GameCredits","GAME","gamecredits","","",""
